"","dual_sim","three_g","wifi","sc_h","sc_w","talk_time","blue","four_g","touch_screen","battery_power","clock_speed","fc","int_memory","m_dep","mobile_wt","n_cores","pc","px_height","px_width","ram","price_range"
"1968","1","0","0","(13.4,16.2]","(3.6,7.2]","[1.98,5]","0","0","1","(1.7e+03,1.8e+03]","(2.5,3]","[-0.019,3.8]","(39.2,45.4]","(0.64,0.82]","(92,104]","(4.5,6.25]","(4,8]","(784,1.18e+03]","(1.85e+03,2e+03]","[252,630]","1"
"1975","1","1","0","[4.99,7.8]","[-0.018,3.6]","(11,14]","1","1","1","(900,1e+03]","[0.497,1]","(7.6,11.4]","(26.8,33]","(0.28,0.46]","(188,200]","[0.993,2.75]","(12,16]","(392,784]","(949,1.1e+03]","(2.13e+03,2.5e+03]","1"
"1981","1","1","1","(10.6,13.4]","(7.2,10.8]","(14,17]","1","1","1","(900,1e+03]","[0.497,1]","(3.8,7.6]","[1.94,8.2]","(0.82,1]","(140,152]","(6.25,8.01]","(8,12]","(784,1.18e+03]","(1.25e+03,1.4e+03]","(1.75e+03,2.13e+03]","1"
"1982","0","0","1","(7.8,10.6]","[-0.018,3.6]","[1.98,5]","0","0","0","(1.4e+03,1.5e+03]","(2.5,3]","(7.6,11.4]","[1.94,8.2]","(0.28,0.46]","(188,200]","(2.75,4.5]","(16,20]","(392,784]","(949,1.1e+03]","(1e+03,1.38e+03]","1"
"1985","1","1","0","(7.8,10.6]","(3.6,7.2]","(5,8]","0","0","0","(700,800]","(2,2.5]","[-0.019,3.8]","(33,39.2]","(0.82,1]","(140,152]","(6.25,8.01]","[-0.02,4]","[-1.96,392]","(1.1e+03,1.25e+03]","(2.13e+03,2.5e+03]","1"
"1987","1","1","0","(7.8,10.6]","(3.6,7.2]","(5,8]","1","1","0","(1.1e+03,1.2e+03]","[0.497,1]","(3.8,7.6]","(57.8,64.1]","(0.46,0.64]","(152,164]","[0.993,2.75]","(8,12]","(392,784]","(949,1.1e+03]","(1.75e+03,2.13e+03]","1"
"1989","0","0","1","(7.8,10.6]","[-0.018,3.6]","(17,20]","1","0","1","(1.5e+03,1.6e+03]","(2.5,3]","[-0.019,3.8]","(51.6,57.8]","(0.28,0.46]","(104,116]","[0.993,2.75]","[-0.02,4]","[-1.96,392]","(949,1.1e+03]","(1.38e+03,1.75e+03]","1"
"2","1","1","0","(16.2,19]","[-0.018,3.6]","(5,8]","1","1","1","(1e+03,1.1e+03]","[0.497,1]","[-0.019,3.8]","(51.6,57.8]","(0.64,0.82]","(128,140]","(2.75,4.5]","(4,8]","(784,1.18e+03]","(1.85e+03,2e+03]","(2.5e+03,2.87e+03]","2"
"3","1","1","0","(10.6,13.4]","[-0.018,3.6]","(8,11]","1","1","1","[500,601]","[0.497,1]","[-0.019,3.8]","(39.2,45.4]","(0.82,1]","(140,152]","(4.5,6.25]","(4,8]","(1.18e+03,1.57e+03]","(1.7e+03,1.85e+03]","(2.5e+03,2.87e+03]","2"
"4","0","1","0","(13.4,16.2]","(7.2,10.8]","(8,11]","1","0","0","(601,700]","(2,2.5]","[-0.019,3.8]","(8.2,14.4]","(0.64,0.82]","(128,140]","(4.5,6.25]","(8,12]","(1.18e+03,1.57e+03]","(1.7e+03,1.85e+03]","(2.5e+03,2.87e+03]","2"
"29","1","1","1","(7.8,10.6]","[-0.018,3.6]","(8,11]","0","1","1","(1.4e+03,1.5e+03]","(1.5,2]","(11.4,15.2]","(51.6,57.8]","(0.28,0.46]","(92,104]","[0.993,2.75]","(16,20]","[-1.96,392]","(1.25e+03,1.4e+03]","(2.13e+03,2.5e+03]","2"
"39","1","1","1","[4.99,7.8]","[-0.018,3.6]","[1.98,5]","0","1","0","(700,800]","(1.5,2]","(15.2,19]","(8.2,14.4]","(0.28,0.46]","[79.9,92]","(4.5,6.25]","(16,20]","[-1.96,392]","(650,799]","(2.87e+03,3.25e+03]","2"
"52","1","0","0","(16.2,19]","(10.8,14.4]","(14,17]","0","0","1","(1.7e+03,1.8e+03]","(1,1.5]","(3.8,7.6]","(57.8,64.1]","(0.64,0.82]","(116,128]","(6.25,8.01]","(16,20]","(1.18e+03,1.57e+03]","(1.25e+03,1.4e+03]","(1.75e+03,2.13e+03]","2"
"55","1","0","0","[4.99,7.8]","[-0.018,3.6]","(17,20]","1","0","1","(1e+03,1.1e+03]","[0.497,1]","[-0.019,3.8]","(45.4,51.6]","(0.46,0.64]","(140,152]","(6.25,8.01]","[-0.02,4]","(392,784]","(799,949]","(2.87e+03,3.25e+03]","2"
"60","1","1","1","(13.4,16.2]","(10.8,14.4]","(8,11]","0","1","1","(1e+03,1.1e+03]","(1,1.5]","[-0.019,3.8]","(45.4,51.6]","(0.82,1]","(116,128]","(4.5,6.25]","[-0.02,4]","[-1.96,392]","(650,799]","(2.87e+03,3.25e+03]","2"
"64","0","1","1","(13.4,16.2]","[-0.018,3.6]","[1.98,5]","0","1","1","(1.7e+03,1.8e+03]","(1.5,2]","(11.4,15.2]","(51.6,57.8]","(0.46,0.64]","(164,176]","[0.993,2.75]","(16,20]","(392,784]","(1.25e+03,1.4e+03]","(2.13e+03,2.5e+03]","2"
"82","1","1","0","(13.4,16.2]","(10.8,14.4]","(14,17]","0","1","1","(900,1e+03]","(2.5,3]","(7.6,11.4]","(57.8,64.1]","[0.0991,0.28]","(188,200]","(2.75,4.5]","(16,20]","(1.18e+03,1.57e+03]","(1.55e+03,1.7e+03]","(2.5e+03,2.87e+03]","2"
"90","1","1","1","(7.8,10.6]","[-0.018,3.6]","(8,11]","0","0","0","(1.3e+03,1.4e+03]","(1,1.5]","[-0.019,3.8]","(26.8,33]","(0.46,0.64]","(92,104]","(2.75,4.5]","(12,16]","(392,784]","(1.4e+03,1.55e+03]","(2.13e+03,2.5e+03]","2"
"92","1","1","0","(16.2,19]","(3.6,7.2]","(11,14]","1","1","1","(1.9e+03,2e+03]","(1.5,2]","(3.8,7.6]","(51.6,57.8]","(0.82,1]","(164,176]","(6.25,8.01]","(16,20]","(1.18e+03,1.57e+03]","(1.1e+03,1.25e+03]","(1.75e+03,2.13e+03]","2"
"98","0","1","0","(16.2,19]","(14.4,18]","(11,14]","1","1","0","(1.6e+03,1.7e+03]","[0.497,1]","[-0.019,3.8]","(57.8,64.1]","[0.0991,0.28]","(188,200]","(4.5,6.25]","(16,20]","(1.57e+03,1.96e+03]","(1.55e+03,1.7e+03]","(1.38e+03,1.75e+03]","2"
"121","1","0","0","(10.6,13.4]","(7.2,10.8]","(5,8]","1","0","1","(1.7e+03,1.8e+03]","(1.5,2]","[-0.019,3.8]","(8.2,14.4]","(0.28,0.46]","(188,200]","(6.25,8.01]","(4,8]","(392,784]","(1.25e+03,1.4e+03]","(2.5e+03,2.87e+03]","2"
"127","1","1","1","(7.8,10.6]","[-0.018,3.6]","(17,20]","1","1","0","(800,900]","(2,2.5]","[-0.019,3.8]","(57.8,64.1]","(0.28,0.46]","[79.9,92]","(2.75,4.5]","[-0.02,4]","[-1.96,392]","(650,799]","(2.5e+03,2.87e+03]","2"
"133","0","1","1","(10.6,13.4]","(7.2,10.8]","[1.98,5]","0","0","1","(601,700]","[0.497,1]","[-0.019,3.8]","(39.2,45.4]","(0.82,1]","(188,200]","(6.25,8.01]","(8,12]","[-1.96,392]","[499,650]","(2.87e+03,3.25e+03]","2"
"141","1","1","1","(16.2,19]","[-0.018,3.6]","(14,17]","0","1","0","(1.7e+03,1.8e+03]","[0.497,1]","[-0.019,3.8]","(26.8,33]","[0.0991,0.28]","(128,140]","[0.993,2.75]","(16,20]","(1.57e+03,1.96e+03]","(1.85e+03,2e+03]","(1e+03,1.38e+03]","2"
"150","0","1","0","(10.6,13.4]","(7.2,10.8]","(14,17]","0","1","0","[500,601]","(1.5,2]","(3.8,7.6]","(39.2,45.4]","(0.64,0.82]","(152,164]","[0.993,2.75]","(4,8]","(784,1.18e+03]","(949,1.1e+03]","(2.87e+03,3.25e+03]","2"
"176","1","1","1","[4.99,7.8]","(3.6,7.2]","(11,14]","0","1","1","(900,1e+03]","(1.5,2]","(7.6,11.4]","(20.6,26.8]","(0.64,0.82]","(140,152]","(4.5,6.25]","(12,16]","(392,784]","(1.7e+03,1.85e+03]","(2.13e+03,2.5e+03]","2"
"183","0","0","1","[4.99,7.8]","[-0.018,3.6]","(14,17]","0","0","1","(1e+03,1.1e+03]","[0.497,1]","[-0.019,3.8]","(33,39.2]","[0.0991,0.28]","(188,200]","(6.25,8.01]","(4,8]","(784,1.18e+03]","(1.1e+03,1.25e+03]","(2.13e+03,2.5e+03]","2"
"192","1","1","0","(10.6,13.4]","(7.2,10.8]","(5,8]","1","1","0","(1.5e+03,1.6e+03]","(1,1.5]","[-0.019,3.8]","[1.94,8.2]","[0.0991,0.28]","(188,200]","(4.5,6.25]","(12,16]","(392,784]","(1.4e+03,1.55e+03]","(2.13e+03,2.5e+03]","2"
"195","0","1","0","[4.99,7.8]","(3.6,7.2]","(17,20]","0","0","1","(601,700]","[0.497,1]","[-0.019,3.8]","(14.4,20.6]","[0.0991,0.28]","(152,164]","(2.75,4.5]","(12,16]","(392,784]","(1.1e+03,1.25e+03]","(2.5e+03,2.87e+03]","2"
"196","0","1","0","(16.2,19]","(7.2,10.8]","[1.98,5]","0","1","1","(1.5e+03,1.6e+03]","(2,2.5]","[-0.019,3.8]","(20.6,26.8]","[0.0991,0.28]","(116,128]","(6.25,8.01]","(4,8]","(392,784]","(650,799]","(2.13e+03,2.5e+03]","2"
"204","1","1","0","[4.99,7.8]","(3.6,7.2]","(14,17]","0","0","0","(601,700]","[0.497,1]","(7.6,11.4]","(26.8,33]","(0.64,0.82]","(104,116]","(6.25,8.01]","(16,20]","(784,1.18e+03]","(1.1e+03,1.25e+03]","(2.5e+03,2.87e+03]","2"
"205","0","1","0","(16.2,19]","(14.4,18]","(5,8]","1","0","0","(1.4e+03,1.5e+03]","(2,2.5]","(3.8,7.6]","(57.8,64.1]","[0.0991,0.28]","(164,176]","(4.5,6.25]","(16,20]","(392,784]","(949,1.1e+03]","(2.5e+03,2.87e+03]","2"
"211","1","1","1","(10.6,13.4]","[-0.018,3.6]","(11,14]","0","0","0","(1.3e+03,1.4e+03]","(1.5,2]","[-0.019,3.8]","(20.6,26.8]","[0.0991,0.28]","(104,116]","(2.75,4.5]","[-0.02,4]","[-1.96,392]","(650,799]","(2.5e+03,2.87e+03]","2"
"212","0","1","1","(13.4,16.2]","(7.2,10.8]","(8,11]","1","0","0","(1.5e+03,1.6e+03]","(2.5,3]","[-0.019,3.8]","(39.2,45.4]","[0.0991,0.28]","(152,164]","(6.25,8.01]","[-0.02,4]","(784,1.18e+03]","(1.55e+03,1.7e+03]","(1.75e+03,2.13e+03]","2"
"224","1","1","0","(10.6,13.4]","(7.2,10.8]","(11,14]","1","1","0","(1.4e+03,1.5e+03]","[0.497,1]","[-0.019,3.8]","(20.6,26.8]","(0.82,1]","(116,128]","(4.5,6.25]","(8,12]","[-1.96,392]","(949,1.1e+03]","(2.5e+03,2.87e+03]","2"
"228","1","0","0","(16.2,19]","(7.2,10.8]","(11,14]","1","0","1","(1.1e+03,1.2e+03]","(2.5,3]","[-0.019,3.8]","(26.8,33]","(0.46,0.64]","(116,128]","(6.25,8.01]","[-0.02,4]","(784,1.18e+03]","(1.55e+03,1.7e+03]","(2.13e+03,2.5e+03]","2"
"241","0","1","1","(10.6,13.4]","[-0.018,3.6]","(14,17]","1","1","1","(601,700]","(2,2.5]","[-0.019,3.8]","(45.4,51.6]","[0.0991,0.28]","(128,140]","(6.25,8.01]","[-0.02,4]","(392,784]","(949,1.1e+03]","(3.25e+03,3.62e+03]","2"
"251","1","0","1","[4.99,7.8]","[-0.018,3.6]","(5,8]","0","0","1","(800,900]","(2,2.5]","[-0.019,3.8]","(51.6,57.8]","(0.46,0.64]","(176,188]","[0.993,2.75]","[-0.02,4]","(392,784]","(799,949]","(2.87e+03,3.25e+03]","2"
"252","0","0","0","(16.2,19]","(7.2,10.8]","(5,8]","0","0","0","(1.2e+03,1.3e+03]","[0.497,1]","[-0.019,3.8]","(57.8,64.1]","[0.0991,0.28]","(92,104]","(4.5,6.25]","[-0.02,4]","(1.18e+03,1.57e+03]","(1.4e+03,1.55e+03]","(2.13e+03,2.5e+03]","2"
"276","0","1","1","(16.2,19]","(10.8,14.4]","(14,17]","0","0","1","(1.2e+03,1.3e+03]","(2.5,3]","[-0.019,3.8]","(57.8,64.1]","(0.46,0.64]","(116,128]","(2.75,4.5]","(4,8]","(392,784]","(1.85e+03,2e+03]","(2.5e+03,2.87e+03]","2"
"293","0","1","1","(13.4,16.2]","(10.8,14.4]","(17,20]","1","0","1","(1.9e+03,2e+03]","(1.5,2]","(3.8,7.6]","(8.2,14.4]","(0.64,0.82]","(128,140]","(4.5,6.25]","(16,20]","(1.57e+03,1.96e+03]","(1.85e+03,2e+03]","(1e+03,1.38e+03]","2"
"308","1","0","1","(7.8,10.6]","(3.6,7.2]","(14,17]","0","0","0","(1.7e+03,1.8e+03]","[0.497,1]","(3.8,7.6]","[1.94,8.2]","(0.46,0.64]","(176,188]","(4.5,6.25]","(16,20]","[-1.96,392]","[499,650]","(2.87e+03,3.25e+03]","2"
"310","1","1","0","[4.99,7.8]","(3.6,7.2]","(14,17]","1","0","0","(1.9e+03,2e+03]","(1.5,2]","[-0.019,3.8]","(39.2,45.4]","(0.46,0.64]","(176,188]","(2.75,4.5]","(4,8]","(784,1.18e+03]","(1.1e+03,1.25e+03]","(1.38e+03,1.75e+03]","2"
"327","1","0","0","(13.4,16.2]","[-0.018,3.6]","(5,8]","1","0","0","(1.1e+03,1.2e+03]","(1,1.5]","[-0.019,3.8]","(20.6,26.8]","(0.28,0.46]","(188,200]","[0.993,2.75]","(8,12]","[-1.96,392]","(650,799]","(3.25e+03,3.62e+03]","2"
"329","1","0","1","[4.99,7.8]","[-0.018,3.6]","(14,17]","0","0","1","(1.4e+03,1.5e+03]","[0.497,1]","[-0.019,3.8]","(26.8,33]","(0.46,0.64]","(176,188]","[0.993,2.75]","(12,16]","(784,1.18e+03]","(1.1e+03,1.25e+03]","(2.5e+03,2.87e+03]","2"
"335","1","0","1","(16.2,19]","[-0.018,3.6]","(8,11]","1","0","0","(1.8e+03,1.9e+03]","(1,1.5]","(7.6,11.4]","(45.4,51.6]","[0.0991,0.28]","(128,140]","[0.993,2.75]","(12,16]","[-1.96,392]","(650,799]","(2.13e+03,2.5e+03]","2"
"336","1","0","0","(16.2,19]","(14.4,18]","(11,14]","0","0","1","(800,900]","[0.497,1]","[-0.019,3.8]","(14.4,20.6]","(0.28,0.46]","(104,116]","(2.75,4.5]","[-0.02,4]","(392,784]","(799,949]","(2.5e+03,2.87e+03]","2"
"340","0","1","1","(13.4,16.2]","(10.8,14.4]","(14,17]","0","1","1","(1.5e+03,1.6e+03]","(2,2.5]","[-0.019,3.8]","(20.6,26.8]","(0.64,0.82]","(164,176]","(6.25,8.01]","[-0.02,4]","(392,784]","(1.25e+03,1.4e+03]","(1.75e+03,2.13e+03]","2"
"343","1","1","0","[4.99,7.8]","[-0.018,3.6]","(17,20]","1","0","1","(1.9e+03,2e+03]","(2.5,3]","(7.6,11.4]","(14.4,20.6]","[0.0991,0.28]","(188,200]","(6.25,8.01]","(12,16]","(392,784]","(650,799]","(2.13e+03,2.5e+03]","2"
"348","0","1","1","[4.99,7.8]","[-0.018,3.6]","(17,20]","1","1","0","(601,700]","[0.497,1]","(3.8,7.6]","[1.94,8.2]","(0.64,0.82]","(176,188]","(4.5,6.25]","(12,16]","[-1.96,392]","(1.4e+03,1.55e+03]","(2.5e+03,2.87e+03]","2"
"350","1","0","1","(10.6,13.4]","(3.6,7.2]","(17,20]","1","0","0","(601,700]","[0.497,1]","[-0.019,3.8]","(39.2,45.4]","(0.28,0.46]","(140,152]","(2.75,4.5]","[-0.02,4]","[-1.96,392]","(949,1.1e+03]","(2.87e+03,3.25e+03]","2"
"354","0","1","0","(16.2,19]","(14.4,18]","(17,20]","0","1","0","(1.1e+03,1.2e+03]","[0.497,1]","(3.8,7.6]","[1.94,8.2]","(0.46,0.64]","(128,140]","(6.25,8.01]","(12,16]","[-1.96,392]","(949,1.1e+03]","(2.5e+03,2.87e+03]","2"
"382","0","1","1","(10.6,13.4]","(7.2,10.8]","(11,14]","0","0","1","(1.4e+03,1.5e+03]","[0.497,1]","[-0.019,3.8]","(45.4,51.6]","[0.0991,0.28]","(140,152]","(6.25,8.01]","(8,12]","(392,784]","[499,650]","(2.87e+03,3.25e+03]","2"
"383","0","1","1","(7.8,10.6]","(3.6,7.2]","(14,17]","1","1","0","(1.8e+03,1.9e+03]","(1.5,2]","[-0.019,3.8]","(57.8,64.1]","[0.0991,0.28]","(164,176]","(2.75,4.5]","[-0.02,4]","(392,784]","(650,799]","(2.13e+03,2.5e+03]","2"
"389","0","1","0","[4.99,7.8]","(3.6,7.2]","(14,17]","0","0","1","(1.1e+03,1.2e+03]","[0.497,1]","[-0.019,3.8]","(8.2,14.4]","(0.46,0.64]","(140,152]","(6.25,8.01]","(4,8]","(784,1.18e+03]","(799,949]","(2.87e+03,3.25e+03]","2"
"401","1","1","1","(7.8,10.6]","(3.6,7.2]","[1.98,5]","0","1","1","(1.2e+03,1.3e+03]","(1.5,2]","[-0.019,3.8]","[1.94,8.2]","[0.0991,0.28]","(176,188]","(2.75,4.5]","(8,12]","[-1.96,392]","(1.4e+03,1.55e+03]","(2.5e+03,2.87e+03]","2"
"414","0","0","0","[4.99,7.8]","[-0.018,3.6]","(14,17]","1","0","0","(1.1e+03,1.2e+03]","(1,1.5]","[-0.019,3.8]","(45.4,51.6]","(0.46,0.64]","(92,104]","(4.5,6.25]","[-0.02,4]","(392,784]","[499,650]","(2.5e+03,2.87e+03]","2"
"416","0","1","1","(7.8,10.6]","[-0.018,3.6]","(14,17]","1","1","0","(700,800]","(2.5,3]","(3.8,7.6]","(45.4,51.6]","(0.28,0.46]","(176,188]","(2.75,4.5]","(8,12]","[-1.96,392]","(949,1.1e+03]","(2.5e+03,2.87e+03]","2"
"422","1","1","0","(13.4,16.2]","(10.8,14.4]","(8,11]","0","0","1","(1.1e+03,1.2e+03]","(2,2.5]","(3.8,7.6]","(51.6,57.8]","(0.28,0.46]","[79.9,92]","(2.75,4.5]","(16,20]","[-1.96,392]","(1.25e+03,1.4e+03]","(2.13e+03,2.5e+03]","2"
"423","0","1","0","(13.4,16.2]","[-0.018,3.6]","[1.98,5]","1","1","0","(1.5e+03,1.6e+03]","[0.497,1]","(7.6,11.4]","(39.2,45.4]","[0.0991,0.28]","(164,176]","(2.75,4.5]","(12,16]","(784,1.18e+03]","(1.25e+03,1.4e+03]","(1.75e+03,2.13e+03]","2"
"425","1","0","0","(13.4,16.2]","[-0.018,3.6]","(8,11]","0","0","0","(700,800]","(2,2.5]","(3.8,7.6]","(45.4,51.6]","[0.0991,0.28]","(152,164]","(2.75,4.5]","(4,8]","[-1.96,392]","[499,650]","(3.62e+03,4e+03]","2"
"426","1","1","0","(10.6,13.4]","[-0.018,3.6]","(17,20]","0","1","0","(1.8e+03,1.9e+03]","(2.5,3]","[-0.019,3.8]","(51.6,57.8]","(0.28,0.46]","(176,188]","(2.75,4.5]","[-0.02,4]","[-1.96,392]","[499,650]","(2.87e+03,3.25e+03]","2"
"449","0","1","0","(7.8,10.6]","[-0.018,3.6]","(14,17]","0","1","0","(1.5e+03,1.6e+03]","(2,2.5]","(3.8,7.6]","(45.4,51.6]","(0.64,0.82]","(188,200]","[0.993,2.75]","(16,20]","(784,1.18e+03]","(1.7e+03,1.85e+03]","(2.5e+03,2.87e+03]","2"
"456","0","1","0","(16.2,19]","[-0.018,3.6]","(17,20]","1","1","1","(1.7e+03,1.8e+03]","[0.497,1]","(3.8,7.6]","(45.4,51.6]","(0.64,0.82]","(92,104]","(2.75,4.5]","(16,20]","(784,1.18e+03]","(1.1e+03,1.25e+03]","(2.13e+03,2.5e+03]","2"
"475","0","0","1","(7.8,10.6]","(7.2,10.8]","(5,8]","0","0","0","(1.9e+03,2e+03]","[0.497,1]","[-0.019,3.8]","(20.6,26.8]","(0.64,0.82]","(104,116]","(2.75,4.5]","(4,8]","(784,1.18e+03]","(1.25e+03,1.4e+03]","(2.13e+03,2.5e+03]","2"
"476","0","1","1","(10.6,13.4]","[-0.018,3.6]","(11,14]","0","0","1","(1.1e+03,1.2e+03]","(1,1.5]","(7.6,11.4]","[1.94,8.2]","(0.46,0.64]","(116,128]","(2.75,4.5]","(12,16]","[-1.96,392]","(650,799]","(3.25e+03,3.62e+03]","2"
"490","0","1","1","[4.99,7.8]","[-0.018,3.6]","(17,20]","0","1","1","(1.1e+03,1.2e+03]","(1,1.5]","(3.8,7.6]","(45.4,51.6]","(0.46,0.64]","(104,116]","(2.75,4.5]","(12,16]","[-1.96,392]","(1.7e+03,1.85e+03]","(1.75e+03,2.13e+03]","2"
"493","1","1","0","(16.2,19]","(3.6,7.2]","(11,14]","1","0","1","(800,900]","(1.5,2]","[-0.019,3.8]","(14.4,20.6]","[0.0991,0.28]","(188,200]","(6.25,8.01]","(8,12]","[-1.96,392]","(799,949]","(2.87e+03,3.25e+03]","2"
"507","1","1","1","(10.6,13.4]","(10.8,14.4]","(8,11]","1","1","0","(1.2e+03,1.3e+03]","(1.5,2]","[-0.019,3.8]","(20.6,26.8]","[0.0991,0.28]","(116,128]","(6.25,8.01]","(8,12]","(784,1.18e+03]","(1.25e+03,1.4e+03]","(2.13e+03,2.5e+03]","2"
"508","1","0","1","(16.2,19]","(10.8,14.4]","(14,17]","1","0","1","[500,601]","[0.497,1]","(3.8,7.6]","(14.4,20.6]","(0.82,1]","[79.9,92]","(2.75,4.5]","(12,16]","[-1.96,392]","(1.85e+03,2e+03]","(2.5e+03,2.87e+03]","2"
"510","0","1","1","(7.8,10.6]","(3.6,7.2]","(14,17]","1","0","0","(1.8e+03,1.9e+03]","(2,2.5]","(3.8,7.6]","(39.2,45.4]","(0.64,0.82]","(128,140]","(2.75,4.5]","(12,16]","(392,784]","(1.25e+03,1.4e+03]","(1.75e+03,2.13e+03]","2"
"527","1","1","0","(13.4,16.2]","(7.2,10.8]","(8,11]","1","1","0","[500,601]","[0.497,1]","(7.6,11.4]","(51.6,57.8]","(0.46,0.64]","(140,152]","(6.25,8.01]","(12,16]","(392,784]","(799,949]","(2.5e+03,2.87e+03]","2"
"529","1","1","0","(7.8,10.6]","(3.6,7.2]","(5,8]","0","1","0","(1.6e+03,1.7e+03]","[0.497,1]","(3.8,7.6]","(57.8,64.1]","[0.0991,0.28]","(128,140]","[0.993,2.75]","(8,12]","[-1.96,392]","(799,949]","(2.13e+03,2.5e+03]","2"
"530","0","1","1","[4.99,7.8]","(3.6,7.2]","(5,8]","0","1","1","(1.8e+03,1.9e+03]","[0.497,1]","(7.6,11.4]","(8.2,14.4]","(0.28,0.46]","(104,116]","[0.993,2.75]","(16,20]","[-1.96,392]","(1.7e+03,1.85e+03]","(2.13e+03,2.5e+03]","2"
"557","0","1","0","(10.6,13.4]","(3.6,7.2]","(11,14]","0","1","0","(1.5e+03,1.6e+03]","(1,1.5]","(7.6,11.4]","(51.6,57.8]","(0.28,0.46]","(176,188]","(6.25,8.01]","(16,20]","(392,784]","(650,799]","(2.5e+03,2.87e+03]","2"
"558","0","1","0","(10.6,13.4]","(7.2,10.8]","(14,17]","0","0","1","(1.5e+03,1.6e+03]","(2,2.5]","[-0.019,3.8]","(26.8,33]","(0.64,0.82]","(188,200]","[0.993,2.75]","(8,12]","[-1.96,392]","(1.1e+03,1.25e+03]","(2.87e+03,3.25e+03]","2"
"563","0","1","0","[4.99,7.8]","[-0.018,3.6]","(14,17]","1","1","0","(1.7e+03,1.8e+03]","[0.497,1]","(7.6,11.4]","(8.2,14.4]","(0.46,0.64]","(188,200]","(6.25,8.01]","(12,16]","(392,784]","(1.85e+03,2e+03]","(1.75e+03,2.13e+03]","2"
"565","1","0","0","(7.8,10.6]","(3.6,7.2]","(8,11]","0","0","1","[500,601]","(2.5,3]","(15.2,19]","(33,39.2]","[0.0991,0.28]","[79.9,92]","(4.5,6.25]","(16,20]","[-1.96,392]","(1.1e+03,1.25e+03]","(3.25e+03,3.62e+03]","2"
"577","1","1","0","(7.8,10.6]","[-0.018,3.6]","(11,14]","1","0","1","[500,601]","(2,2.5]","(3.8,7.6]","[1.94,8.2]","(0.64,0.82]","(164,176]","[0.993,2.75]","(12,16]","(392,784]","(1.7e+03,1.85e+03]","(2.5e+03,2.87e+03]","2"
"597","0","1","0","(7.8,10.6]","(3.6,7.2]","(11,14]","0","0","0","(1.1e+03,1.2e+03]","[0.497,1]","(7.6,11.4]","(20.6,26.8]","[0.0991,0.28]","(140,152]","[0.993,2.75]","(8,12]","[-1.96,392]","(1.4e+03,1.55e+03]","(2.87e+03,3.25e+03]","2"
"598","0","1","1","(13.4,16.2]","[-0.018,3.6]","[1.98,5]","1","0","1","[500,601]","[0.497,1]","[-0.019,3.8]","(8.2,14.4]","[0.0991,0.28]","(152,164]","(6.25,8.01]","(8,12]","(392,784]","(1.1e+03,1.25e+03]","(3.25e+03,3.62e+03]","2"
"609","0","1","0","[4.99,7.8]","(3.6,7.2]","(11,14]","1","1","1","(1.9e+03,2e+03]","(1,1.5]","(3.8,7.6]","(14.4,20.6]","(0.82,1]","(116,128]","(6.25,8.01]","(8,12]","[-1.96,392]","(650,799]","(2.87e+03,3.25e+03]","2"
"615","1","0","0","(13.4,16.2]","(3.6,7.2]","(8,11]","1","0","0","[500,601]","[0.497,1]","(7.6,11.4]","(20.6,26.8]","[0.0991,0.28]","(140,152]","(6.25,8.01]","(12,16]","(392,784]","[499,650]","(3.25e+03,3.62e+03]","2"
"616","1","0","1","(7.8,10.6]","(3.6,7.2]","(5,8]","0","0","1","(800,900]","[0.497,1]","[-0.019,3.8]","(39.2,45.4]","(0.46,0.64]","(164,176]","(6.25,8.01]","(12,16]","(392,784]","(1.25e+03,1.4e+03]","(2.87e+03,3.25e+03]","2"
"620","1","1","1","(7.8,10.6]","(3.6,7.2]","(5,8]","0","0","0","[500,601]","(2,2.5]","(3.8,7.6]","(20.6,26.8]","(0.64,0.82]","(188,200]","[0.993,2.75]","(8,12]","(392,784]","(1.1e+03,1.25e+03]","(3.25e+03,3.62e+03]","2"
"642","1","1","1","[4.99,7.8]","[-0.018,3.6]","(5,8]","0","0","0","[500,601]","[0.497,1]","[-0.019,3.8]","[1.94,8.2]","[0.0991,0.28]","(176,188]","(6.25,8.01]","[-0.02,4]","(392,784]","(1.85e+03,2e+03]","(2.5e+03,2.87e+03]","2"
"646","1","0","1","[4.99,7.8]","[-0.018,3.6]","(17,20]","1","0","0","(1.8e+03,1.9e+03]","(1,1.5]","(3.8,7.6]","(8.2,14.4]","(0.46,0.64]","(164,176]","(6.25,8.01]","(4,8]","(392,784]","(650,799]","(2.13e+03,2.5e+03]","2"
"668","0","1","0","(10.6,13.4]","(3.6,7.2]","(5,8]","0","0","0","[500,601]","[0.497,1]","[-0.019,3.8]","(45.4,51.6]","(0.64,0.82]","(188,200]","(2.75,4.5]","(4,8]","(392,784]","(1.4e+03,1.55e+03]","(3.25e+03,3.62e+03]","2"
"676","1","1","0","(16.2,19]","[-0.018,3.6]","[1.98,5]","0","1","0","[500,601]","(2,2.5]","(7.6,11.4]","(20.6,26.8]","[0.0991,0.28]","(140,152]","[0.993,2.75]","(8,12]","[-1.96,392]","(1.1e+03,1.25e+03]","(3.25e+03,3.62e+03]","2"
